"otu" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"1" "GU359092.1.1471" "Bacteria" "Acidobacteria" "Subgroup 6" "Ambiguous_taxa" "Ambiguous_taxa" "Ambiguous_taxa" "Ambiguous_taxa"
"2" "JN615823.1.1359" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae (Subgroup 4)" "uncultured" "uncultured bacterium"
"3" "GQ120637.1.1515" "Bacteria" "Acidobacteria" "Subgroup 6" "Ambiguous_taxa" "Ambiguous_taxa" "Ambiguous_taxa" "Ambiguous_taxa"
"4" "HM061977.1.1470" "Bacteria" "Acidobacteria" "Subgroup 6" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium"
"5" "JN023626.1.1506" "Bacteria" "Acidobacteria" "Subgroup 6" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium"
"6" "GU359072.1.1474" "Bacteria" "Acidobacteria" "Subgroup 6" NA NA NA NA
"7" "HQ597858.1.1508" "Bacteria" "Acidobacteria" "Subgroup 6" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium"
"8" "HQ190266.1.1492" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae (Subgroup 4)" "Ambiguous_taxa" NA
"9" "HM061710.1.1477" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae (Subgroup 4)" "RB41" "Ambiguous_taxa"
"10" "HQ597865.1.1508" "Bacteria" "Acidobacteria" "Subgroup 6" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium" "uncultured Acidobacteria bacterium"
"11" "GU550579.1.1244" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" "Ambiguous_taxa"
"12" "FM209319.1.1474" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" NA
"13" "HE818691.1.1410" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Dactylosporangium" "uncultured bacterium"
"14" "HM274116.1.1360" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Flavisolibacter" "uncultured bacterium"
"15" "JF429082.1.1514" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "uncultured" "Ambiguous_taxa"
"16" "HQ844554.1.1431" "Bacteria" "Chloroflexi" "KD4-96" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium"
"17" "KF712627.1.1476" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA NA
"18" "DQ129385.1.1478" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pirellula" "uncultured bacterium"
"19" "HG423553.1.1283" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Caulobacter" "Ambiguous_taxa"
"20" "FR753119.1.1437" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" "Ambiguous_taxa"
"21" "FJ936901.1.1446" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Dongia" "Ambiguous_taxa"
